event_id,review_id,treated_repo,treated_path,adoption_date,adjudicated_carrier,adjudicated_components,control_repo,match_rank,match_distance,candidate_stage,exact_language,exact_owner_type,exact_star_cell,exact_pr_activity_cell,treated_primaryLanguage,control_primaryLanguage,treated_ownerType,control_ownerType,treated_seedStarCell,control_seedStarCell,treated_pr_activity_cell,control_pr_activity_cell,treated_stars,control_stars,treated_pull_requests_total,control_pull_requests_total,treated_issues_total,control_issues_total,treated_governance_maturity_score,control_governance_maturity_score,treated_age_days,control_age_days
FTE004,FCR-0202,bbc/audiowaveform,CONTRIBUTING.md,2024-04-21T12:31:19Z,contributing_guide,restriction_or_ban,InteractiveComputerGraphics/PositionBasedDynamics,1,0.64525,language_owner_star_prcell,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,0000-0099,0000-0099,2139,2217,46,27,173,115,,,4592,4024
FTE004,FCR-0202,bbc/audiowaveform,CONTRIBUTING.md,2024-04-21T12:31:19Z,contributing_guide,restriction_or_ban,NASA-SW-VnV/ikos,2,0.766548,language_owner_star_prcell,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,0000-0099,0000-0099,2139,3145,46,58,173,246,,,4592,3128
FTE004,FCR-0202,bbc/audiowaveform,CONTRIBUTING.md,2024-04-21T12:31:19Z,contributing_guide,restriction_or_ban,tfhe/tfhe,3,0.816281,language_owner_star_prcell,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,0000-0099,0000-0099,2139,1319,46,85,173,185,,,4592,3644
FTE004,FCR-0202,bbc/audiowaveform,CONTRIBUTING.md,2024-04-21T12:31:19Z,contributing_guide,restriction_or_ban,rpng/open_vins,4,1.262445,language_owner_star_prcell,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,0000-0099,0000-0099,2139,2872,46,68,173,473,,,4592,2671
FTE004,FCR-0202,bbc/audiowaveform,CONTRIBUTING.md,2024-04-21T12:31:19Z,contributing_guide,restriction_or_ban,roboticslibrary/rl,5,1.612668,language_owner_star_prcell,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,0000-0099,0000-0099,2139,1173,46,9,173,95,,,4592,4352
FTE005,FCR-0133,ohmybash/oh-my-bash,CONTRIBUTING.md,2024-04-28T08:19:41Z,contributing_guide,disclosure;human_responsibility,conda-forge/miniforge,1,0.556715,language_owner_star_prcell,True,True,True,True,Shell,Shell,Organization,Organization,5000-inf,5000-inf,0100-0499,0100-0499,7483,9748,347,323,355,498,,,3340,2370
FTE005,FCR-0133,ohmybash/oh-my-bash,CONTRIBUTING.md,2024-04-28T08:19:41Z,contributing_guide,disclosure;human_responsibility,Gogh-Co/Gogh,2,0.683073,language_owner_star_prcell,True,True,True,True,Shell,Shell,Organization,Organization,5000-inf,5000-inf,0100-0499,0100-0499,7483,10226,347,278,355,227,,,3340,4556
FTE005,FCR-0133,ohmybash/oh-my-bash,CONTRIBUTING.md,2024-04-28T08:19:41Z,contributing_guide,disclosure;human_responsibility,sdkman/sdkman-cli,3,0.967293,language_owner_star_prcell,True,True,True,True,Shell,Shell,Organization,Organization,5000-inf,5000-inf,0100-0499,0100-0499,7483,6750,347,378,355,966,,,3340,5005
FTE005,FCR-0133,ohmybash/oh-my-bash,CONTRIBUTING.md,2024-04-28T08:19:41Z,contributing_guide,disclosure;human_responsibility,nodesource/distributions,4,1.270341,language_owner_star_prcell,True,True,True,True,Shell,Shell,Organization,Organization,5000-inf,5000-inf,0100-0499,0100-0499,7483,13837,347,372,355,1489,,,3340,4288
FTE005,FCR-0133,ohmybash/oh-my-bash,CONTRIBUTING.md,2024-04-28T08:19:41Z,contributing_guide,disclosure;human_responsibility,ONLYOFFICE/DocumentServer,5,1.523978,language_owner_star_prcell,True,True,True,True,Shell,Shell,Organization,Organization,5000-inf,5000-inf,0100-0499,0100-0499,7483,6496,347,223,355,3165,,,3340,4328
FTE006,FCR-0026,BeamMP/BeamMP-Server,.github/pull_request_template.md,2024-11-13T15:21:49Z,pr_template,human_responsibility;process_requirement;restriction_or_ban,tonuino/TonUINO-TNG,1,0.587713,language_owner_star_prcell,True,True,True,True,C++,C++,Organization,Organization,50-199,50-199,0100-0499,0100-0499,183,189,214,168,262,159,,,2296,1306
FTE006,FCR-0026,BeamMP/BeamMP-Server,.github/pull_request_template.md,2024-11-13T15:21:49Z,pr_template,human_responsibility;process_requirement;restriction_or_ban,ouster-lidar/ouster-ros,2,0.634045,language_owner_star_prcell,True,True,True,True,C++,C++,Organization,Organization,50-199,50-199,0100-0499,0100-0499,183,198,214,220,262,294,,,2296,1329
FTE006,FCR-0026,BeamMP/BeamMP-Server,.github/pull_request_template.md,2024-11-13T15:21:49Z,pr_template,human_responsibility;process_requirement;restriction_or_ban,JDRaftKeeper/RaftKeeper,3,0.65491,language_owner_star_prcell,True,True,True,True,C++,C++,Organization,Organization,50-199,50-199,0100-0499,0100-0499,183,155,214,195,262,195,,,2296,1172
FTE006,FCR-0026,BeamMP/BeamMP-Server,.github/pull_request_template.md,2024-11-13T15:21:49Z,pr_template,human_responsibility;process_requirement;restriction_or_ban,KZGlobalTeam/cs2kz-metamod,4,0.759396,language_owner_star_prcell,True,True,True,True,C++,C++,Organization,Organization,50-199,50-199,0100-0499,0100-0499,183,181,214,337,262,215,,,2296,950
FTE006,FCR-0026,BeamMP/BeamMP-Server,.github/pull_request_template.md,2024-11-13T15:21:49Z,pr_template,human_responsibility;process_requirement;restriction_or_ban,SCOREC/core,5,0.922295,language_owner_star_prcell,True,True,True,True,C++,C++,Organization,Organization,50-199,50-199,0100-0499,0100-0499,183,195,214,189,262,345,,,2296,4354
FTE009,FCR-0075,calcom/cal.diy,CONTRIBUTING.md,2025-04-10T07:03:50Z,contributing_guide,human_responsibility;verification_testing,angular/components,1,1.033068,language_owner,True,True,True,True,TypeScript,TypeScript,Organization,Organization,5000-inf,5000-inf,10000+,10000+,42399,25022,18957,16882,9215,16171,,,1876,3780
FTE009,FCR-0075,calcom/cal.diy,CONTRIBUTING.md,2025-04-10T07:03:50Z,contributing_guide,human_responsibility;verification_testing,gitpod-io/gitpod,2,1.494882,language_owner,True,True,True,True,TypeScript,TypeScript,Organization,Organization,5000-inf,5000-inf,10000+,10000+,42399,13683,18957,11954,9215,9284,,,1876,2939
FTE009,FCR-0075,calcom/cal.diy,CONTRIBUTING.md,2025-04-10T07:03:50Z,contributing_guide,human_responsibility;verification_testing,prisma/prisma,3,3.192541,language_owner,True,True,True,False,TypeScript,TypeScript,Organization,Organization,5000-inf,5000-inf,10000+,3000-9999,42399,45908,18957,9916,9215,11913,,,1876,2517
FTE009,FCR-0075,calcom/cal.diy,CONTRIBUTING.md,2025-04-10T07:03:50Z,contributing_guide,human_responsibility;verification_testing,baidu/amis,4,3.338853,language_owner,True,True,True,False,TypeScript,TypeScript,Organization,Organization,5000-inf,5000-inf,10000+,3000-9999,42399,18862,18957,6502,9215,5943,,,1876,2570
FTE009,FCR-0075,calcom/cal.diy,CONTRIBUTING.md,2025-04-10T07:03:50Z,contributing_guide,human_responsibility;verification_testing,Expensify/App,5,3.699148,language_owner,True,True,False,True,TypeScript,TypeScript,Organization,Organization,5000-inf,1000-4999,10000+,10000+,42399,4848,18957,41156,9215,48319,,,1876,2103
FTE010,FCR-0272,webex/webex-js-sdk,.github/PULL_REQUEST_TEMPLATE.md,2025-05-08T12:54:36Z,pr_template,disclosure;model_tool_usage_detail;process_requirement,Alfresco/alfresco-content-app,1,0.694162,language_owner,True,True,True,True,TypeScript,TypeScript,Organization,Organization,50-199,50-199,3000-9999,3000-9999,199,199,4542,4997,399,178,,,3595,3134
FTE010,FCR-0272,webex/webex-js-sdk,.github/PULL_REQUEST_TEMPLATE.md,2025-05-08T12:54:36Z,pr_template,disclosure;model_tool_usage_detail;process_requirement,Lumieducation/H5P-Nodejs-library,2,0.811393,language_owner,True,True,True,True,TypeScript,TypeScript,Organization,Organization,50-199,50-199,3000-9999,3000-9999,199,196,4542,4185,399,270,,,3595,2558
FTE010,FCR-0272,webex/webex-js-sdk,.github/PULL_REQUEST_TEMPLATE.md,2025-05-08T12:54:36Z,pr_template,disclosure;model_tool_usage_detail;process_requirement,sumup-oss/circuit-ui,3,3.304682,language_owner,True,True,False,True,TypeScript,TypeScript,Organization,Organization,50-199,200-999,3000-9999,3000-9999,199,970,4542,3361,399,229,,,3595,3241
FTE010,FCR-0272,webex/webex-js-sdk,.github/PULL_REQUEST_TEMPLATE.md,2025-05-08T12:54:36Z,pr_template,disclosure;model_tool_usage_detail;process_requirement,saleor/saleor-dashboard,4,3.415163,language_owner,True,True,False,True,TypeScript,TypeScript,Organization,Organization,50-199,200-999,3000-9999,3000-9999,199,993,4542,4955,399,1516,,,3595,2518
FTE010,FCR-0272,webex/webex-js-sdk,.github/PULL_REQUEST_TEMPLATE.md,2025-05-08T12:54:36Z,pr_template,disclosure;model_tool_usage_detail;process_requirement,parca-dev/parca,5,3.88201,language_owner,True,True,False,True,TypeScript,TypeScript,Organization,Organization,50-199,1000-4999,3000-9999,3000-9999,199,4854,4542,5820,399,509,,,3595,2722
FTE011,FCR-0028,CollaboraOnline/online,CONTRIBUTING.md,2025-05-09T12:59:12Z,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,facebookincubator/velox,1,0.321487,language_owner,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,10000+,10000+,3201,4115,12482,14164,3164,2991,,,2048,1753
FTE011,FCR-0028,CollaboraOnline/online,CONTRIBUTING.md,2025-05-09T12:59:12Z,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,ydb-platform/ydb,2,1.156506,language_owner,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,10000+,10000+,3201,4721,12482,30444,3164,9133,,,2048,1554
FTE011,FCR-0028,CollaboraOnline/online,CONTRIBUTING.md,2025-05-09T12:59:12Z,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,RobotLocomotion/drake,3,1.227958,language_owner,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,10000+,10000+,3201,4020,12482,17728,3164,6766,,,2048,4488
FTE011,FCR-0028,CollaboraOnline/online,CONTRIBUTING.md,2025-05-09T12:59:12Z,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,root-project/root,4,1.234535,language_owner,True,True,True,True,C++,C++,Organization,Organization,1000-4999,1000-4999,10000+,10000+,3201,3199,12482,19113,3164,3019,,,2048,4701
FTE011,FCR-0028,CollaboraOnline/online,CONTRIBUTING.md,2025-05-09T12:59:12Z,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,microsoft/WindowsAppSDK,5,3.361051,language_owner,True,True,True,False,C++,C++,Organization,Organization,1000-4999,1000-4999,10000+,1000-2999,3201,4527,12482,2924,3164,1914,,,2048,2217
FTE012,FCR-0264,ros2/ros2_documentation,.github/ISSUE_TEMPLATE/issue_report.yml,2025-05-13T19:46:41Z,issue_template,disclosure;process_requirement,OCA/OpenUpgrade,1,0.811193,language_owner,True,True,True,True,Python,Python,Organization,Organization,200-999,200-999,3000-9999,3000-9999,893,941,5984,4620,580,926,,,2800,4375
FTE012,FCR-0264,ros2/ros2_documentation,.github/ISSUE_TEMPLATE/issue_report.yml,2025-05-13T19:46:41Z,issue_template,disclosure;process_requirement,NVIDIA/NVFlare,2,1.00836,language_owner,True,True,True,True,Python,Python,Organization,Organization,200-999,200-999,3000-9999,3000-9999,893,928,5984,3915,580,356,,,2800,1753
FTE012,FCR-0264,ros2/ros2_documentation,.github/ISSUE_TEMPLATE/issue_report.yml,2025-05-13T19:46:41Z,issue_template,disclosure;process_requirement,LunarClient/ServerMappings,3,3.388057,language_owner,True,True,False,True,Python,Python,Organization,Organization,200-999,50-199,3000-9999,3000-9999,893,194,5984,4831,580,136,,,2800,1643
FTE012,FCR-0264,ros2/ros2_documentation,.github/ISSUE_TEMPLATE/issue_report.yml,2025-05-13T19:46:41Z,issue_template,disclosure;process_requirement,rotki/rotki,4,3.396756,language_owner,True,True,False,True,Python,Python,Organization,Organization,200-999,1000-4999,3000-9999,3000-9999,893,3832,5984,9025,580,3065,,,2800,2989
FTE012,FCR-0264,ros2/ros2_documentation,.github/ISSUE_TEMPLATE/issue_report.yml,2025-05-13T19:46:41Z,issue_template,disclosure;process_requirement,ROCm/TheRock,5,3.471598,language_owner,True,True,True,True,Python,Python,Organization,Organization,200-999,200-999,3000-9999,3000-9999,893,988,5984,3538,580,1467,,3.0,2800,801
FTE013,FCR-0298,curl/curl,docs/CONTRIBUTE.md,2025-05-15T12:07:39Z,contributing_guide,disclosure;human_responsibility;restriction_or_ban;verification_testing,php/php-src,1,0.235046,language_owner,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,10000+,10000+,41734,40042,14967,16664,5432,5066,,,5898,5443
FTE013,FCR-0298,curl/curl,docs/CONTRIBUTE.md,2025-05-15T12:07:39Z,contributing_guide,disclosure;human_responsibility;restriction_or_ban;verification_testing,netdata/netdata,2,0.75663,language_owner,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,10000+,10000+,41734,78712,14967,13599,5432,8221,,,5898,4711
FTE013,FCR-0298,curl/curl,docs/CONTRIBUTE.md,2025-05-15T12:07:39Z,contributing_guide,disclosure;human_responsibility;restriction_or_ban;verification_testing,openwrt/openwrt,3,1.030678,language_owner,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,10000+,10000+,41734,26777,14967,14343,5432,8720,,,5898,3836
FTE013,FCR-0298,curl/curl,docs/CONTRIBUTE.md,2025-05-15T12:07:39Z,contributing_guide,disclosure;human_responsibility;restriction_or_ban;verification_testing,taosdata/TDengine,4,1.668723,language_owner,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,10000+,10000+,41734,24837,14967,29660,5432,5440,,,5898,2496
FTE013,FCR-0298,curl/curl,docs/CONTRIBUTE.md,2025-05-15T12:07:39Z,contributing_guide,disclosure;human_responsibility;restriction_or_ban;verification_testing,FRRouting/frr,5,3.709502,language_owner,True,True,False,True,C,C,Organization,Organization,5000-inf,1000-4999,10000+,10000+,41734,4118,14967,17190,5432,4271,,,5898,3434
FTE014,FCR-0254,lumen-oss/lux,CONTRIBUTING.md,2025-06-09T13:18:35Z,contributing_guide,restriction_or_ban,tombi-toml/tombi,1,0.621874,language_owner_star_prcell,True,True,True,True,Rust,Rust,Organization,Organization,200-999,200-999,1000-2999,1000-2999,946,901,1053,1607,397,229,,,851,580
FTE014,FCR-0254,lumen-oss/lux,CONTRIBUTING.md,2025-06-09T13:18:35Z,contributing_guide,restriction_or_ban,bytecodealliance/jco,2,0.750374,language_owner_star_prcell,True,True,True,True,Rust,Rust,Organization,Organization,200-999,200-999,1000-2999,1000-2999,946,948,1053,1124,397,320,,,851,1249
FTE014,FCR-0254,lumen-oss/lux,CONTRIBUTING.md,2025-06-09T13:18:35Z,contributing_guide,restriction_or_ban,estuary/flow,3,1.168989,language_owner_star_prcell,True,True,True,True,Rust,Rust,Organization,Organization,200-999,200-999,1000-2999,1000-2999,946,919,1053,2262,397,612,,,851,2279
FTE014,FCR-0254,lumen-oss/lux,CONTRIBUTING.md,2025-06-09T13:18:35Z,contributing_guide,restriction_or_ban,microsoft/qdk,4,1.296991,language_owner_star_prcell,True,True,True,True,Rust,Rust,Organization,Organization,200-999,200-999,1000-2999,1000-2999,946,917,1053,2324,397,847,,,851,1201
FTE014,FCR-0254,lumen-oss/lux,CONTRIBUTING.md,2025-06-09T13:18:35Z,contributing_guide,restriction_or_ban,golemcloud/golem,5,1.368036,language_owner_star_prcell,True,True,True,True,Rust,Rust,Organization,Organization,200-999,200-999,1000-2999,1000-2999,946,990,1053,1768,397,1496,,,851,899
FTE017,FCR-0317,xemu-project/xemu,docs/devel/code-provenance.rst,2025-06-24T14:37:56Z,developer_or_maintainer_doc,authorship_or_provenance;restriction_or_ban,openrazer/openrazer,1,1.303978,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,1000-4999,1000-4999,0500-0999,0500-0999,3862,4329,878,655,1934,2132,3.0,2.0,2274,3836
FTE017,FCR-0317,xemu-project/xemu,docs/devel/code-provenance.rst,2025-06-24T14:37:56Z,developer_or_maintainer_doc,authorship_or_provenance;restriction_or_ban,mydumper/mydumper,2,1.310128,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,1000-4999,1000-4999,0500-0999,0500-0999,3862,3130,878,982,1934,1176,3.0,2.0,2274,3839
FTE017,FCR-0317,xemu-project/xemu,docs/devel/code-provenance.rst,2025-06-24T14:37:56Z,developer_or_maintainer_doc,authorship_or_provenance;restriction_or_ban,pgbackrest/pgbackrest,3,1.462765,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,1000-4999,1000-4999,0500-0999,0500-0999,3862,3937,878,742,1934,2024,3.0,4.0,2274,4564
FTE017,FCR-0317,xemu-project/xemu,docs/devel/code-provenance.rst,2025-06-24T14:37:56Z,developer_or_maintainer_doc,authorship_or_provenance;restriction_or_ban,quickjs-ng/quickjs,4,1.581206,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,1000-4999,1000-4999,0500-0999,0500-0999,3862,2988,878,977,1934,412,3.0,2.0,2274,922
FTE017,FCR-0317,xemu-project/xemu,docs/devel/code-provenance.rst,2025-06-24T14:37:56Z,developer_or_maintainer_doc,authorship_or_provenance;restriction_or_ban,FalkorDB/FalkorDB,5,2.223055,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,1000-4999,1000-4999,0500-0999,0500-0999,3862,4328,878,791,1934,1077,3.0,5.0,2274,1026
FTE018,FCR-0011,freebsd/freebsd-src,CONTRIBUTING.md,2025-07-25T22:24:34Z,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,h2o/h2o,1,4.618775,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,1000-2999,1000-2999,9058,11452,1963,2201,0,1366,,,5362,4286
FTE018,FCR-0011,freebsd/freebsd-src,CONTRIBUTING.md,2025-07-25T22:24:34Z,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,cesanta/mongoose,2,5.631288,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,1000-2999,1000-2999,9058,12769,1963,1555,0,1564,,3.0,5362,5018
FTE018,FCR-0011,freebsd/freebsd-src,CONTRIBUTING.md,2025-07-25T22:24:34Z,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,FreeRTOS/FreeRTOS,3,6.234317,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,1000-2999,1000-2999,9058,7284,1963,1285,0,116,,5.0,5362,2442
FTE018,FCR-0011,freebsd/freebsd-src,CONTRIBUTING.md,2025-07-25T22:24:34Z,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,RfidResearchGroup/proxmark3,4,6.946138,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,1000-2999,1000-2999,9058,5601,1963,2315,0,954,,5.0,5362,2829
FTE018,FCR-0011,freebsd/freebsd-src,CONTRIBUTING.md,2025-07-25T22:24:34Z,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,arkime/arkime,5,7.877373,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,1000-2999,1000-2999,9058,7367,1963,2368,0,1539,,6.0,5362,5057
FTE019,FCR-0311,systemd/systemd,docs/CONTRIBUTING.md,2025-07-29T16:40:26Z,contributing_guide,authorship_or_provenance;disclosure;human_responsibility,openssl/openssl,1,0.843762,language_owner,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,10000+,10000+,16274,30099,27542,17890,14209,11343,,,4065,4864
FTE019,FCR-0311,systemd/systemd,docs/CONTRIBUTING.md,2025-07-29T16:40:26Z,contributing_guide,authorship_or_provenance;disclosure;human_responsibility,openwrt/openwrt,2,0.930844,language_owner,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,10000+,10000+,16274,26777,27542,14343,14209,8720,,,4065,3836
FTE019,FCR-0311,systemd/systemd,docs/CONTRIBUTING.md,2025-07-29T16:40:26Z,contributing_guide,authorship_or_provenance;disclosure;human_responsibility,taosdata/TDengine,3,0.967508,language_owner,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,10000+,10000+,16274,24837,27542,29660,14209,5440,,,4065,2496
FTE019,FCR-0311,systemd/systemd,docs/CONTRIBUTING.md,2025-07-29T16:40:26Z,contributing_guide,authorship_or_provenance;disclosure;human_responsibility,php/php-src,4,1.244837,language_owner,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,10000+,10000+,16274,40042,27542,16664,14209,5066,,,4065,5443
FTE019,FCR-0311,systemd/systemd,docs/CONTRIBUTING.md,2025-07-29T16:40:26Z,contributing_guide,authorship_or_provenance;disclosure;human_responsibility,sonic-net/sonic-buildimage,5,3.783637,language_owner,True,True,False,True,C,C,Organization,Organization,5000-inf,200-999,10000+,10000+,16274,963,27542,22606,14209,4494,,,4065,3716
FTE021,FCR-0215,lxc/terraform-provider-incus,CONTRIBUTING.md,2025-08-05T17:51:28Z,contributing_guide,human_responsibility;restriction_or_ban,vercel/terraform-provider-vercel,1,0.359893,language_owner_star_prcell,True,True,True,True,Go,Go,Organization,Organization,50-199,50-199,0100-0499,0100-0499,187,186,296,339,133,170,,,878,1565
FTE021,FCR-0215,lxc/terraform-provider-incus,CONTRIBUTING.md,2025-08-05T17:51:28Z,contributing_guide,human_responsibility;restriction_or_ban,openpredictionmarkets/socialpredict,2,0.614274,language_owner_star_prcell,True,True,True,True,Go,Go,Organization,Organization,50-199,50-199,0100-0499,0100-0499,187,192,296,308,133,335,,,878,913
FTE021,FCR-0215,lxc/terraform-provider-incus,CONTRIBUTING.md,2025-08-05T17:51:28Z,contributing_guide,human_responsibility;restriction_or_ban,geldata/gel-go,3,0.697222,language_owner_star_prcell,True,True,True,True,Go,Go,Organization,Organization,50-199,50-199,0100-0499,0100-0499,187,180,296,259,133,138,,,878,2035
FTE021,FCR-0215,lxc/terraform-provider-incus,CONTRIBUTING.md,2025-08-05T17:51:28Z,contributing_guide,human_responsibility;restriction_or_ban,BuildOnViction/victionchain,4,0.819176,language_owner_star_prcell,True,True,True,True,Go,Go,Organization,Organization,50-199,50-199,0100-0499,0100-0499,187,183,296,401,133,153,,,878,2372
FTE021,FCR-0215,lxc/terraform-provider-incus,CONTRIBUTING.md,2025-08-05T17:51:28Z,contributing_guide,human_responsibility;restriction_or_ban,modelpack/model-spec,5,0.980975,language_owner_star_prcell,True,True,True,True,Go,Go,Organization,Organization,50-199,50-199,0100-0499,0100-0499,187,197,296,170,133,36,,,878,621
FTE022,FCR-0214,lxc/lxc,CONTRIBUTING.md,2025-08-15T20:49:46Z,contributing_guide,authorship_or_provenance;human_responsibility;restriction_or_ban,AdAway/AdAway,1,1.188247,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,1000-2999,1000-2999,5176,9047,2812,2253,1824,1921,4.0,5.0,4994,5048
FTE022,FCR-0214,lxc/lxc,CONTRIBUTING.md,2025-08-15T20:49:46Z,contributing_guide,authorship_or_provenance;human_responsibility;restriction_or_ban,gluster/glusterfs,2,1.224587,language_owner_star_prcell,True,True,True,True,C,C,Organization,Organization,5000-inf,5000-inf,1000-2999,1000-2999,5176,5182,2812,1696,1824,2846,4.0,3.0,4994,5562
