review_id,repo,file_path,carrier,scope,components,orientation,component_evidence_json,rule_summary,source_url,linked_policy_urls
FCR-0019,tidwall/tile38,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,restriction_or_ban,exclusionary_gatekeeping,"{""restriction_or_ban"": ""We are not accepting AI assisted code into Tile38 at this time.""}",AI-assisted code contributions are not accepted at this time.,https://raw.githubusercontent.com/tidwall/tile38/HEAD/CONTRIBUTING.md,
FCR-0021,AFLplusplus/AFLplusplus,.github/pull_request_template.md,pr_template,pull_request_or_patch,maintainer_review_discretion;process_requirement;restriction_or_ban,exclusionary_gatekeeping;process_template_absorption,"{""maintainer_review_discretion"": ""PRs that are clearly not working may result in a ban, indicating maintainer discretion."", ""restriction_or_ban"": ""No AI slop. Using AI is fine, but opening a PR that is clearly not working will get you banned from the repository!""}",AI-assisted contributions must be functional; non-functional submissions may result in a ban.,https://raw.githubusercontent.com/AFLplusplus/AFLplusplus/HEAD/.github/pull_request_template.md,
FCR-0022,AcademySoftwareFoundation/OpenCue,.github/PULL_REQUEST_TEMPLATE.md,pr_template,pull_request_or_patch,disclosure;model_tool_usage_detail;process_requirement,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""Optional section asks for LLM usage disclosure."", ""model_tool_usage_detail"": ""Optional section asks what models were used and what they were used for.""}","Contributors are encouraged to disclose LLM usage, including models and purposes.",https://raw.githubusercontent.com/AcademySoftwareFoundation/OpenCue/HEAD/.github/PULL_REQUEST_TEMPLATE.md,
FCR-0024,AnInsomniacy/motrix-next,.github/PULL_REQUEST_TEMPLATE.md,pr_template,pull_request_or_patch,disclosure;human_responsibility;process_requirement,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""AI usage disclosure section requires contributors to specify if AI tools were used."", ""human_responsibility"": ""Contributors must review and understand every line of AI-assisted code."", ""process_requirement"": ""AI usage disclosure is embedded in the PR template as a required section.""}","AI-assisted contributions must be disclosed, reviewed, and understood by the contributor.",https://raw.githubusercontent.com/AnInsomniacy/motrix-next/HEAD/.github/PULL_REQUEST_TEMPLATE.md,https://raw.githubusercontent.com/AnInsomniacy/motrix-next/HEAD/docs/CONTRIBUTING.md
FCR-0026,BeamMP/BeamMP-Server,.github/pull_request_template.md,pr_template,pull_request_or_patch,human_responsibility;process_requirement;restriction_or_ban,exclusionary_gatekeeping;process_template_absorption,"{""human_responsibility"": ""I declare that I fully understand all code I pushed into this PR."", ""restriction_or_ban"": ""Code that is AI generated or otherwise automatically generated may be rejected without further discussion.""}","AI-generated code may be rejected, and contributors must understand all submitted code.",https://raw.githubusercontent.com/BeamMP/BeamMP-Server/HEAD/.github/pull_request_template.md,
FCR-0028,CollaboraOnline/online,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,human_responsibility;restriction_or_ban;verification_testing,conditional_acceptance_accountability,"{""human_responsibility"": ""You are responsible for the resulting code: you should be able to explain each hunk of the diff you have written based on the generated samples."", ""restriction_or_ban"": ""Submitting patches without understanding their content, copying AI generated code verbatim, or not testing the result before submitting is forbidden."", ""verification_testing"": ""Not testing the result before submitting would create risk and waste reviewer time.""}","AI-assisted contributions are allowed if contributors understand, explain, and test the resulting code; unverified or verbatim AI-generated patches are forbidden.",https://raw.githubusercontent.com/CollaboraOnline/online/HEAD/CONTRIBUTING.md,https://github.com/CollaboraOnline/online/security/policy;https://raw.githubusercontent.com/CollaboraOnline/online/HEAD/README.CONTRIBUTING.md
FCR-0029,DLR-RM/stable-baselines3,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,disclosure;maintainer_review_discretion;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,"{""disclosure"": ""The use of LLM or code assistants (e.g., Claude or Copilot) must be publicly disclosed."", ""maintainer_review_discretion"": ""Each PR needs to be reviewed and accepted by at least one of the maintainers."", ""restriction_or_ban"": ""We do not accept PRs that are fully generated using an LLM/code assistant unless triggered by a maintainer.""}","AI-assisted contributions must disclose AI usage, and fully AI-generated PRs are banned unless initiated by maintainers.",https://raw.githubusercontent.com/DLR-RM/stable-baselines3/HEAD/CONTRIBUTING.md,
FCR-0030,DarkFlippers/unleashed-firmware,.github/pull_request_template.md,pr_template,pull_request_or_patch,disclosure;model_tool_usage_detail;process_requirement,process_template_absorption,"{""disclosure"": ""AI usage disclosure is required, with options to specify partially AI-assisted or fully AI-generated contributions."", ""model_tool_usage_detail"": ""Clarify below which code was AI-assisted and briefly explain what it does."", ""process_requirement"": ""AI usage disclosure is embedded in the PR template as a required field.""}","The PR template requires contributors to disclose AI usage, specify AI-assisted code, and explain its functionality.",https://raw.githubusercontent.com/DarkFlippers/unleashed-firmware/HEAD/.github/pull_request_template.md,
FCR-0031,DeepSourceCorp/good-first-issue,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;issue_or_bug_report,disclosure;human_responsibility;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,"{""disclosure"": ""Disclose AI usage in your pull request description."", ""human_responsibility"": ""Review and test all AI-generated code before submitting; ensure accuracy."", ""restriction_or_ban"": ""Low-quality AI-generated PRs or issues will be closed without review.""}","AI-assisted contributions must disclose AI usage, be reviewed and tested by humans, and low-quality AI-generated submissions are rejected.",https://raw.githubusercontent.com/DeepSourceCorp/good-first-issue/HEAD/CONTRIBUTING.md,https://raw.githubusercontent.com/ghostty-org/ghostty/main/AI_POLICY.md
FCR-0036,GraphLite-AI/GraphLite,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,disclosure;human_responsibility;verification_testing,conditional_acceptance_accountability,"{""disclosure"": ""You may mention AI tools used in PR descriptions; be transparent about AI use for significant contributions."", ""human_responsibility"": ""Human reviews all AI-generated code; you must understand what the code does."", ""verification_testing"": ""Add comprehensive test suites and include a script of manual tests run along with results.""}","AI-assisted contributions require disclosure, human review, and comprehensive testing to ensure code quality and correctness.",https://raw.githubusercontent.com/GraphLite-AI/GraphLite/HEAD/CONTRIBUTING.md,
FCR-0037,GreedyBear-Project/GreedyBear,.github/pull_request_template.md,pr_template,pull_request_or_patch,human_responsibility;process_requirement;verification_testing,conditional_acceptance_accountability;process_template_absorption,"{""human_responsibility"": ""Evidence: 'Don't just paste LLM output here.'"", ""process_requirement"": ""Evidence: 'Checklist includes a field for verifying LLM-generated code.'"", ""verification_testing"": ""Evidence: 'I have reviewed and verified any LLM-generated code included in this PR.'""}",PR template requires contributors to verify and take responsibility for LLM-generated code.,https://raw.githubusercontent.com/GreedyBear-Project/GreedyBear/HEAD/.github/pull_request_template.md,
FCR-0038,HolyCityAudio/SpinCAD-Designer,CONTRIBUTING.md,contributing_guide,general_contribution,human_responsibility;verification_testing,conditional_acceptance_accountability,"{""human_responsibility"": ""Evidence: 'Using Claude with the existing source code as context is a practical way to get oriented.'"", ""verification_testing"": ""Evidence: 'GitHub Actions runs automated checks via Gradle on all PRs.'""}",Contributing guide encourages responsible use of AI tools and requires automated testing for contributions.,https://raw.githubusercontent.com/HolyCityAudio/SpinCAD-Designer/HEAD/CONTRIBUTING.md,
FCR-0039,Imbad0202/academic-research-skills,CONTRIBUTING.md,contributing_guide,general_contribution,human_responsibility;restriction_or_ban,exclusionary_gatekeeping,"{""human_responsibility"": ""Evidence: 'Human-in-the-loop always.'"", ""restriction_or_ban"": ""Evidence: 'Contributions that reduce human oversight or enable fully autonomous paper generation will be declined.'""}",Contributing guide bans fully autonomous AI contributions and emphasizes human oversight.,https://raw.githubusercontent.com/Imbad0202/academic-research-skills/main/CONTRIBUTING.md,
FCR-0041,KhronosGroup/Vulkan-ValidationLayers,CONTRIBUTING.md,contributing_guide,general_contribution,disclosure;human_responsibility,conditional_acceptance_accountability,"{""disclosure"": ""Evidence: 'You additionally represent that... any of Your Contributions were developed with the assistance of artificial intelligence tools.'"", ""human_responsibility"": ""Evidence: 'You have exercised sufficient review, judgment, and creative direction over such tools and resulting material to reasonably consider it Your original creation.'""}",Contributing guide requires disclosure of AI assistance and asserts human responsibility for AI-generated contributions.,https://raw.githubusercontent.com/KhronosGroup/Vulkan-ValidationLayers/HEAD/CONTRIBUTING.md,
FCR-0042,Mail-0/Zero,.github/PULL_REQUEST_TEMPLATE.md,pr_template,pull_request_or_patch,disclosure;human_responsibility;process_requirement;restriction_or_ban,exclusionary_gatekeeping;process_template_absorption,"{""disclosure"": ""Evidence: 'If you do use AI to write your code please provide a description.'"", ""human_responsibility"": ""Evidence: 'Make sure you understand the code you are submitting using AI.'"", ""process_requirement"": ""Evidence: 'PR template explicitly embeds these rules into the submission process.'"", ""restriction_or_ban"": ""Evidence: 'Pull requests that do not follow these guidelines will be closed without review or comment.'""}","PR template bans non-compliant AI use, requires disclosure, and enforces human responsibility.",https://raw.githubusercontent.com/Mail-0/Zero/HEAD/.github/PULL_REQUEST_TEMPLATE.md,https://raw.githubusercontent.com/Mail-0/Zero/staging/.github/CONTRIBUTING.md
FCR-0049,PolyhedralDev/Terra,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,disclosure;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,"{""disclosure"": ""Clearly state that you've used such tools in the PR description, and in what way they have assisted you."", ""restriction_or_ban"": ""Do not use LLM/\""AI\"" tools to create your pull request. Your pr should be written by you. Using an LLM to automate small, tedious tasks (regex and other fiddly things like it) is acceptable, but submitting a low-effort, completely LLM-generated PR will result in a ban.""}",Bans fully AI-generated PRs and requires disclosure of AI assistance for acceptable use.,https://raw.githubusercontent.com/PolyhedralDev/Terra/HEAD/CONTRIBUTING.md,
FCR-0051,RIOT-OS/RIOT,.github/PULL_REQUEST_TEMPLATE.md,pr_template,pull_request_or_patch,disclosure;human_responsibility;model_tool_usage_detail;process_requirement,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""If AI/LLM was used please declare it here, and provide the following information."", ""human_responsibility"": ""Note that, as long as you declare the use of AI/LLM tools transparently with full authorship and responsibility over your contribution, there is no issue with using them for your contribution."", ""model_tool_usage_detail"": ""Provide the following information: - which AI/LLM tool(s) were used (e.g., ChatGPT, Claude Code, GitHub Copilot, etc.) - to what degree the AI/LLM tool(s) were used.""}","Requires disclosure of AI use, details of tools and involvement, and human responsibility for contributions.",https://raw.githubusercontent.com/RIOT-OS/RIOT/HEAD/.github/PULL_REQUEST_TEMPLATE.md,
FCR-0052,StrikerX3/Ymir,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,disclosure;human_responsibility;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,"{""disclosure"": ""Clearly state that you've used such tools in the PR description, and in what way they have assisted you."", ""human_responsibility"": ""Prove that you understand what you're doing by taking the time to manually write PR and commit descriptions."", ""restriction_or_ban"": ""Failing to follow these guidelines will likely get your PR closed.""}","Requires disclosure of AI use, human responsibility for understanding contributions, and restricts misuse of AI tools.",https://raw.githubusercontent.com/StrikerX3/Ymir/HEAD/CONTRIBUTING.md,
FCR-0054,TibixDev/winboat,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,disclosure;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,"{""disclosure"": ""If you made heavy use of AI in your pull request, indicate it."", ""restriction_or_ban"": ""Avoid submitting large vibe-coded features, because in 99% of the cases they will not behave as expected.""}",Discourages large AI-generated features and requires disclosure of heavy AI use.,https://raw.githubusercontent.com/TibixDev/winboat/HEAD/CONTRIBUTING.md,
FCR-0055,Tracer-Cloud/opensre,.github/PULL_REQUEST_TEMPLATE.md,pr_template,pull_request_or_patch,disclosure;human_responsibility;process_requirement;verification_testing,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""Did you use AI assistance (ChatGPT, Claude, Copilot, etc.) to write any part of this code?"", ""human_responsibility"": ""I can explain the purpose and logic of each function/component I added."", ""verification_testing"": ""I have tested edge cases and understand how the code handles them.""}","Requires AI use disclosure, human responsibility for understanding contributions, and verification of AI-generated code.",https://raw.githubusercontent.com/Tracer-Cloud/opensre/HEAD/.github/PULL_REQUEST_TEMPLATE.md,
FCR-0056,a16z/jolt,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,human_responsibility;verification_testing,conditional_acceptance_accountability,"{""human_responsibility"": ""Code generation is cheap — human verification time is the scarce resource."", ""verification_testing"": ""Focus on intent and evaluation; the implementer should derive execution from verification criteria.""}","Spec-driven workflow prioritizes human verification and evaluation for large PRs, emphasizing responsibility and correctness.",https://raw.githubusercontent.com/a16z/jolt/HEAD/CONTRIBUTING.md,
FCR-0057,aaddrick/claude-desktop-debian,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,authorship_or_provenance;disclosure,conditional_acceptance_accountability,"{""authorship_or_provenance"": ""Add the attribution block: Co-Authored-By: Claude <model-name>."", ""disclosure"": ""AI-assisted PRs accepted with disclosure.""}",AI-assisted contributions require disclosure and attribution in PR descriptions and commits.,https://raw.githubusercontent.com/aaddrick/claude-desktop-debian/HEAD/CONTRIBUTING.md,https://raw.githubusercontent.com/aaddrick/claude-desktop-debian/HEAD/CLAUDE.md
FCR-0058,ag2ai/ag2,.github/PULL_REQUEST_TEMPLATE.md,pr_template,pull_request_or_patch,disclosure;human_responsibility;process_requirement;verification_testing,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""AI assistance must be disclosed in the PR description."", ""human_responsibility"": ""Contributors remain responsible for everything they submit."", ""verification_testing"": ""I reviewed, tested, and validated the generated code/text before submitting.""}","PR template requires disclosure, human responsibility, and validation for AI-assisted contributions.",https://raw.githubusercontent.com/ag2ai/ag2/HEAD/.github/PULL_REQUEST_TEMPLATE.md,
FCR-0059,agentskills/agentskills,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,disclosure;human_responsibility;verification_testing,conditional_acceptance_accountability,"{""disclosure"": ""AI assistance must be disclosed in the pull request or issue."", ""human_responsibility"": ""You personally understand what the changes do."", ""verification_testing"": ""Include test cases, scenarios, or examples that demonstrate the improvement.""}","AI-assisted contributions require disclosure, human understanding, and validation through test cases.",https://raw.githubusercontent.com/agentskills/agentskills/HEAD/CONTRIBUTING.md,
FCR-0062,arabcoders/ytptube,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,human_responsibility;restriction_or_ban;verification_testing,conditional_acceptance_accountability;exclusionary_gatekeeping,"{""human_responsibility"": ""You remain fully responsible for all submitted code."", ""restriction_or_ban"": ""Fully AI-generated code without meaningful human oversight will be closed immediately without review."", ""verification_testing"": ""You have reviewed, tested, and validated the output yourself.""}","AI-assisted contributions require human responsibility, validation, and are subject to rejection if fully AI-generated without oversight.",https://raw.githubusercontent.com/arabcoders/ytptube/HEAD/CONTRIBUTING.md,
FCR-0063,argoproj/argo-rollouts,.github/pull_request_template.md,pr_template,pull_request_or_patch,disclosure;human_responsibility;process_requirement;verification_testing,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""I have used LLM/AI/Agent tools for this PR but I am responsible for all code of this PR"", ""human_responsibility"": ""I understand what the code does and WHY/HOW it works in several scenarios"", ""process_requirement"": ""The rule is embedded in a PR template with checkboxes for AI usage and testing."", ""verification_testing"": ""I have run all tests locally (including the flaky ones) and they pass on my workstation""}","PR template requires disclosure of AI use, human responsibility for code, and verification of changes.",https://raw.githubusercontent.com/argoproj/argo-rollouts/HEAD/.github/pull_request_template.md,https://raw.githubusercontent.com/argoproj/argoproj/main/community/CONTRIBUTING.md
FCR-0064,argoproj/argo-workflows,.github/pull_request_template.md,pr_template,pull_request_or_patch,disclosure;maintainer_review_discretion;process_requirement;restriction_or_ban,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""Declare any use of generative AI tools (for example ChatGPT) in preparing this PR."", ""maintainer_review_discretion"": ""Maintainers have discretion to hide or close AI-generated contributions."", ""process_requirement"": ""The PR template includes a dedicated AI section requiring contributors to declare AI use."", ""restriction_or_ban"": ""Maintainers may hide or close contributions made totally or in part through generative AI tooling.""}","PR template requires AI use disclosure, embeds process requirements, and allows maintainers to restrict AI-generated contributions.",https://raw.githubusercontent.com/argoproj/argo-workflows/HEAD/.github/pull_request_template.md,https://raw.githubusercontent.com/argoproj/argoproj/main/community/genai.md
FCR-0065,asciimoo/hister,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,disclosure;human_responsibility;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,"{""disclosure"": ""All AI usage in any form must be disclosed. You must state the tool you used along with the extent that the work was AI-assisted."", ""human_responsibility"": ""The human-in-the-loop must fully understand all code."", ""restriction_or_ban"": ""AI should never be the main author of the PR. Issues and PR descriptions must be fully human-written.""}","Contributing guide requires AI use disclosure, human responsibility for code, and restricts AI-generated contributions.",https://raw.githubusercontent.com/asciimoo/hister/HEAD/CONTRIBUTING.md,
FCR-0067,audreyfeldroy/cookiecutter-pypackage,.github/pull_request_template.md,pr_template,pull_request_or_patch,disclosure;model_tool_usage_detail;process_requirement,conditional_acceptance_accountability;process_template_absorption,"{""disclosure"": ""Remove this section for human-authored PRs."", ""model_tool_usage_detail"": ""Tool, Model, and Prompt/thread fields are explicitly requested in the AI Provenance section."", ""process_requirement"": ""The AI Provenance section is embedded in the PR template.""}","PR template requires AI use disclosure, model/tool/prompt details, and embeds these requirements in the workflow.",https://raw.githubusercontent.com/audreyfeldroy/cookiecutter-pypackage/HEAD/.github/pull_request_template.md,
FCR-0068,autobrr/netronome,.github/pull_request_template.md,pr_template,pull_request_or_patch,human_responsibility;process_requirement,conditional_acceptance_accountability;process_template_absorption,"{""human_responsibility"": ""AI-assisted changes reviewed and edited by a human."", ""process_requirement"": ""The requirement for human review of AI-assisted changes is embedded in the PR template.""}","PR template requires human review and editing of AI-assisted changes, embedding this requirement in the workflow.",https://raw.githubusercontent.com/autobrr/netronome/HEAD/.github/pull_request_template.md,
FCR-0069,aws/aws-sdk-go-v2,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;issue_or_bug_report,disclosure;human_responsibility;maintainer_review_discretion;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,"{""disclosure"": ""Items reviewed in this way must include a statement like 'generated by AI tools, and reviewed by <person>'"", ""human_responsibility"": ""All issue and pull request submissions to this repository that are sourced by AI must first be reviewed by a human before submitting to the repository."", ""maintainer_review_discretion"": ""We may close issues or pull requests, or limit your ability to interact with this repository, for behavior that in our estimation violates these rules."", ""restriction_or_ban"": ""We may close issues or pull requests, or limit your ability to interact with this repository, for behavior that in our estimation violates these rules.""}","AI-assisted contributions must be reviewed by a human, disclosed, and meet quality standards; maintainers may reject or limit submissions violating these rules.",https://raw.githubusercontent.com/aws/aws-sdk-go-v2/HEAD/CONTRIBUTING.md,
FCR-0070,betrusted-io/xous-core,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,authorship_or_provenance;disclosure;human_responsibility,conditional_acceptance_accountability,"{""authorship_or_provenance"": ""Make your disclosure in your commit message as a trailer; e.g. `Assisted-by: ChatGPTv5`."", ""disclosure"": ""You **must** disclose the use of AI tools when a significant part of the contribution is generated without changes."", ""human_responsibility"": ""You are responsible for your contribution, including vouching for the quality, license compliance, and utility of your submission.""}","AI-assisted contributions require disclosure, human accountability, and authorship attribution via commit trailers.",https://raw.githubusercontent.com/betrusted-io/xous-core/HEAD/CONTRIBUTING.md,
FCR-0071,brave/brave-core,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,disclosure;human_responsibility;verification_testing,conditional_acceptance_accountability,"{""disclosure"": ""Be transparent about AI involvement when it played a significant role in identifying the issue or generating the fix."", ""human_responsibility"": ""You must understand the changes you are proposing — not just relay AI output."", ""verification_testing"": ""All changes must be manually built, tested, and verified by you on the relevant platform(s) before submitting a PR.""}","AI-assisted contributions require disclosure, human understanding of changes, and manual testing before submission.",https://raw.githubusercontent.com/brave/brave-core/HEAD/CONTRIBUTING.md,
FCR-0073,bvaughn/react-window,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,human_responsibility;verification_testing,conditional_acceptance_accountability,"{""human_responsibility"": ""Please don't submit code that has been written by code-generation tools such as Copilot or Claude without first reviewing and testing the changeset."", ""verification_testing"": ""Please don't submit code that has been written by code-generation tools such as Copilot or Claude without first reviewing and testing the changeset.""}",AI-generated code must be reviewed and tested by the contributor before submission.,https://raw.githubusercontent.com/bvaughn/react-window/HEAD/CONTRIBUTING.md,
FCR-0074,cactus-compute/cactus,CONTRIBUTING.md,contributing_guide,pull_request_or_patch,restriction_or_ban,exclusionary_gatekeeping,"{""restriction_or_ban"": ""Do not blindly PR AI slop, this codebase is very complex, they miss details.""}",AI-generated contributions are discouraged unless they meet high-quality standards.,https://raw.githubusercontent.com/cactus-compute/cactus/HEAD/CONTRIBUTING.md,
FCR-0075,calcom/cal.diy,CONTRIBUTING.md,contributing_guide,pull_request_or_patch;general_contribution,human_responsibility;verification_testing,conditional_acceptance_accountability,"{""verification_testing"": ""Explain how you validated your changes. It doesn’t need to be exhaustive—just enough to give reviewers confidence that things were tested and work as expected.""}",Contributors are required to explain how changes were tested to ensure correctness and provide confidence to reviewers.,https://raw.githubusercontent.com/calcom/cal.diy/HEAD/CONTRIBUTING.md,https://raw.githubusercontent.com/calcom/cal.diy/HEAD/packages/app-store/CONTRIBUTING.md
