review_id,repo,primary_path,trace_path_used,adjudicated_carrier,adjudicated_components,adjudicated_orientation,trace_status,adoption_located,adoption_date,adoption_commit,adoption_message,date_reliability,history_commits_checked,history_truncated,candidate_paths_considered,candidate_paths_with_current_match,current_file_checked,current_file_matches,first_match_basis,matched_rule_components,evidence_snippet,fetch_error_count,trace_error
FCR-0019,tidwall/tile38,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,restriction_or_ban,exclusionary_gatekeeping,located,True,2026-03-03T01:42:24Z,5b8ce586ab162786c938a61a9078c4c0bcae7739,Create CONTRIBUTING.md,high,3,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;security_reporting;verification_testing,"e tests (where applicable), and update docs. ## When Not to use a Pull Request Do NOT submit a Pull Request for: - Security-related changes. - Works in progress. - Changes that require design discussion, or are likely to be controversial. - Changes needing specialized or cross-subsystem review. - Large refactors or mechanical tree-wide changes. - Changes generated by AI tools. ## AI Assisted Contributions We are not accepting AI assisted code into Tile38 at this time. This policy may change in the future. Please reach out if you have any questions or concerns regarding AI and Tile38. ### Contributor Responsibilities - Monitor your Pull Request and respond to review feedback promptly. - Pull Requests may be closed if",0,
FCR-0021,AFLplusplus/AFLplusplus,.github/pull_request_template.md,.github/pull_request_template.md,pr_template,maintainer_review_discretion;process_requirement;restriction_or_ban,exclusionary_gatekeeping;process_template_absorption,located,True,2026-01-22T11:32:26Z,d773efb47ccb958fa4b7ed4fc246912b34c07c8d,Create pull request template for contributors,high,1,False,.github/pull_request_template.md,.github/pull_request_template.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;verification_testing,"# Your pull request ## Please give basic information **Type of PR**: Feature or Bugfix or Enhancement **Purpose of this PR**: Explain what you try to achieve in this PR **I have tested the changes**: yes/no ## IMPORTANT - **We only accept PRs to the `dev` branch!** - **Run `make code-format`** before submitting - **No AI slop.** Using AI is fine, but opening a PR that is clearly not working will get you banned from the repository! - Think about where your **changes needs to be documented** and add the documentation! - environment variables need to be in docs/env_variables.md and the help output of the tools where they apply - various README.md and other MD files might need updated - p",0,
FCR-0022,AcademySoftwareFoundation/OpenCue,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,pr_template,disclosure;model_tool_usage_detail;process_requirement,conditional_acceptance_accountability;process_template_absorption,located,True,2026-03-26T22:03:34Z,42a17d95cb579fe076d721c85a3de2b33e63985f,Update PULL_REQUEST_TEMPLATE.md (#2229),high,5,False,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,True,True,strict_main_ai_contribution_governance,disclosure;process_requirement,"mber with ""Fixes"". Every Pull Request should have at least one Issue linked. --> ## Summarize your change. <!-- If it's a simple change, a sentence or two is probably sufficient. If it's a complex change, adding a list of the three or four main points can be helpful. It's also helpful to describe **why** you're making this change. --> <!-- (Optional) ## LLM usage disclosure What models were used? What were they used for? Example: Claude Opus was used for investigating the root cause and creating unit tests. --> <!-- For a step-by-step list to walk you through the pull request process, see https://docs.opencue.io/docs/developer-guide/contributing/. For more information about AI usage: https://docs.opencue.io/",0,
FCR-0024,AnInsomniacy/motrix-next,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,pr_template,disclosure;human_responsibility;process_requirement,conditional_acceptance_accountability;process_template_absorption,located,True,2026-03-11T02:54:56Z,47ce631dd36b10b7eff772e92865b8676d417d4e,docs: Update contributing guidelines and pull request template with d…,high,2,False,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,True,True,strict_main_ai_contribution_governance,disclosure;human_responsibility;process_requirement;verification_testing,"- [ ] Refactor (no functional change) - [ ] Documentation / i18n - [ ] CI / build configuration ## How has this been tested? <!-- Describe how you verified your changes. ""It compiles"" is not sufficient. --> ## AI usage disclosure <!-- Check the one that applies. Honest disclosure is expected — misleading answers will result in PR closure. --> - [ ] No AI tools were used - [ ] AI tools assisted with drafting, refactoring, or boilerplate (I reviewed and understand every line) - [ ] Substantial portions were AI-generated (I reviewed, tested, and can explain every change) If AI was used, specify the tool: <!-- e.g., GitHub Copilot, Claude, ChatGPT --> ## Checklist ### Required — PR will not be reviewed without the",0,
FCR-0026,BeamMP/BeamMP-Server,.github/pull_request_template.md,.github/pull_request_template.md,pr_template,human_responsibility;process_requirement;restriction_or_ban,exclusionary_gatekeeping;process_template_absorption,located,True,2024-11-13T15:21:49Z,17e9c05f46a919fa2521a9caf8e45d7e5c2f3b85,add PR template,high,1,False,.github/pull_request_template.md,.github/pull_request_template.md,True,True,strict_main_ai_contribution_governance,disclosure;human_responsibility;process_requirement;verification_testing,"Please replace this text <-> with your PR description and leave the below declarations intact. --- By creating this pull request, I understand that code that is AI generated or otherwise automatically generated may be rejected without further discussion. I declare that I fully understand all code I pushed into this PR, and wrote all this code myself and own the rights to this code.",0,
FCR-0028,CollaboraOnline/online,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,human_responsibility;restriction_or_ban;verification_testing,conditional_acceptance_accountability,located,True,2025-05-09T12:59:12Z,45d8b33a5f7321f8bb1b2affd8c17f5cffe64d33,CONTRIBUTING: add AI policy,high,6,False,CONTRIBUTING.md;README.CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,human_responsibility;verification_testing,"n certify it, then just add a line to every git commit message: ```` Signed-off-by: Random J Developer <random@developer.example.org> ```` Use your real name (sorry, no pseudonyms or anonymous contributions). If you set your `user.name` and `user.email` git configs, you can sign your commit automatically with `git commit -s`. ### AI Policy We consider AI tools that help programming just one more tool that, if used judiciously, can help developers learn to code. Volunteers using such AI tools are permitted to get good ideas, but you are responsible for the resulting code: you should be able to explain each hunk of the diff you have written based on the generated samples. Submitting patches without understanding t",0,
FCR-0029,DLR-RM/stable-baselines3,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,disclosure;maintainer_review_discretion;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,located,True,2026-03-18T17:07:25Z,a72be407aa6108533b23941d4d499897b5e738ea,Update contribution guidelines regarding LLM/code assistant usage (#2…,high,15,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;restriction_or_ban;verification_testing,"on def my_function(arg1: type1, arg2: type2) -> returntype: """""" Short description of the function. :param arg1: describe what is arg1 :param arg2: describe what is arg2 :return: describe what is returned """""" ... return my_variable ``` ## Pull Request (PR) **Important: We do not accept PRs that are fully generated using an LLM/code assistant unless triggered by a maintainer. Use of code assistants (e.g., Claude, Copilot) must be publicly disclosed.** Before proposing a PR, please open an issue, where the feature will be discussed. This prevents from duplicated PR to be proposed and also ease the code review process. Each PR need to be reviewed and accepted by at least one of th",0,
FCR-0030,DarkFlippers/unleashed-firmware,.github/pull_request_template.md,.github/pull_request_template.md,pr_template,disclosure;model_tool_usage_detail;process_requirement,process_template_absorption,located,True,2026-04-21T00:31:11Z,63d49b6e48533c8a182f3d0af97c59e629f07706,subghz upgrades [ci skip],high,6,False,.github/pull_request_template.md,.github/pull_request_template.md,True,True,strict_main_ai_contribution_governance,disclosure;human_responsibility;process_requirement;verification_testing,"s here ] # Verification - [ Describe how to verify changes ] # Author Checklist (Fill this out): - [ ] I have performed a self-review of my own code - [ ] I have commented my code, particularly in hard-to-understand areas - [ ] I have made corresponding changes to the documentation (if it exists) # AI usage disclosure (Fill this out): - [ ] Partially AI assisted (clarify below which code was AI assisted and briefly explain what it does). - [ ] Fully AI generated (explain what all the generated code does in moderate detail). - [ Describe how AI was used in this PR if it was used ] # Checklist (For Reviewer) (Don't fill this out!): - [ ] PR has proper description of new feature/bugfix - [ ] Description contains ac",0,
FCR-0031,DeepSourceCorp/good-first-issue,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,disclosure;human_responsibility;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,located,True,2026-01-27T02:55:17Z,7702018383c5ef56aebe2ccfb5d18fc9bc6a5efc,Add AI guidelines,high,3,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,disclosure;human_responsibility;process_requirement;verification_testing,"To run type checking: ```bash uv run mypy gfi/*.py ``` Or run both with: ```bash make test ``` ## Formatting Code ```bash make format ``` ## Making Changes 1. Create a new branch for your changes 2. Make your changes and test them locally 3. Submit a pull request with a clear description of what you changed and why ## AI Usage Guidelines If you use AI tools (Claude, Copilot, ChatGPT, etc.) when contributing: - **Disclose AI usage** in your pull request description - **Review and test** all AI-generated code before submitting - **Ensure accuracy** - don't submit code you haven't verified works Low-quality AI-generated PRs or issues will be closed without review. _Inspired by [Ghostty's AI Policy](https://git",0,
FCR-0036,GraphLite-AI/GraphLite,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,disclosure;human_responsibility;verification_testing,conditional_acceptance_accountability,located,True,2025-11-22T05:50:50Z,765b962e5db851c534a7a723c7016ce344b661e5,Docs update1 (#11),high,2,False,CONTRIBUTING.md;scripts/README.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,process_requirement;restriction_or_ban,"ip** - You are responsible for code quality and correctness **Not Allowed:** - Copy-pasting AI code without understanding - Submitting code with ""the AI said it works"" as the only verification - PRs without tests or documentation - Code that violates architectural patterns specified in [Critical Rules](#critical-rules). **Transparency:** - You may mention AI tools used in PR descriptions (optional for small changes) - Be transparent about AI use for significant contributions - Your contributions will be licensed under Apache-2.0 - You retain copyright on your contributions **Remember:** AI is a tool, not a replacement for engineering judgment. We value well-designed, thoroughly tested contributions over speed. ---",0,
FCR-0037,GreedyBear-Project/GreedyBear,.github/pull_request_template.md,.github/pull_request_template.md,pr_template,human_responsibility;process_requirement;verification_testing,conditional_acceptance_accountability;process_template_absorption,located,True,2026-02-21T07:27:31Z,80649b019596eae1b05917d33755d953e9877d73,Updated PR template (#850),high,12,False,.github/pull_request_template.md,.github/pull_request_template.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;verification_testing,"and understood the rules about [how to Contribute](https://intelowlproject.github.io/docs/GreedyBear/Contribute/) to this project. - [ ] I chose an appropriate title for the pull request in the form: `<feature name>. Closes #999` - [ ] My branch is based on `develop`. - [ ] The pull request is for the branch `develop`. - [ ] I have reviewed and verified any LLM-generated code included in this PR. ### Docs and tests - [ ] I documented my code changes with docstrings and/or comments. - [ ] I have checked if my changes affect user-facing behavior that is described in the [docs](https://intelowlproject.github.io/docs/GreedyBear/Introduction/). If so, I also created a pull request in the [docs repository](https://git",0,
FCR-0038,HolyCityAudio/SpinCAD-Designer,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,human_responsibility;verification_testing,conditional_acceptance_accountability,located,True,2026-04-17T02:59:21Z,0f524744ee0055063f704a134ba87e6a7716b068,Add CONTRIBUTING.md with contributor guidelines,high,1,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;verification_testing,"tyle rather than reformatting unrelated lines - The UI is built with **Java Swing** — any UI changes should stay consistent with the existing Swing patterns in the codebase, and must remain compatible with Java 8 - For SpinCAD Builder contributions, follow Xtend/Xtext conventions consistent with the existing DSL grammar and generator code --- ## A Note on AI-Assisted Development Recent development on this project has made use of AI tools (specifically Claude). AI-assisted contributions are welcome, but please review generated code carefully before submitting — you are responsible for what you submit regardless of how it was written. --- ## Questions? Open an issue on the [issue tracker](https://github.com/HolyCityAu",0,
FCR-0039,Imbad0202/academic-research-skills,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,human_responsibility;restriction_or_ban,exclusionary_gatekeeping,located,True,2026-04-09T15:18:06Z,914d34bc3be68d90a2ab5f930065eb98466314e0,"docs: add POSITIONING.md, MODE_REGISTRY.md, CONTRIBUTING.md",high,1,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;verification_testing,"has final say on all merges. ### Decision principles 1. **Accuracy over completeness** — we'd rather have fewer, verified journal entries than a long unvetted list 2. **Human-in-the-loop always** — contributions that reduce human oversight or enable fully autonomous paper generation will be declined 3. **No detection evasion** — features designed to make AI-generated text harder to detect (as opposed to higher quality) are out of scope. See [Issue #3](https://github.com/Imbad0202/academic-research-skills/issues/3) for context. 4. **Discipline diversity welcome** — ARS defaults to higher education research but aims to be domain-agnostic. Discipline-specific modules are encouraged. --- ## Academic integrity policy This",0,
FCR-0041,KhronosGroup/Vulkan-ValidationLayers,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,disclosure;human_responsibility,conditional_acceptance_accountability,located,True,2026-05-01T16:37:35Z,eb798fd04c5cd6d30699b762a9e4676f32574825,docs: Add AI-Assisted Contributions to CONTRIBUTING.md,high,50,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;verification_testing,"main/vkconfig_core/layers/layers_schema.json) can be used to validate the changes. > Tip - If you make a fork and push to it, it will run CI there before your make a PR! ### **Contributor License Agreement (CLA)** You will be prompted with a one-time ""click-through"" CLA dialog as part of submitting your pull request or other contribution to GitHub. == **AI-Assisted Contributions** By submitting a Contribution to this repository, you additionally represent that, to the extent any of Your Contributions were developed with the assistance of artificial intelligence tools or AI-generated code, You have exercised sufficient review, judgment, and creative direction over such tools and resulting material to reasonably co",0,
FCR-0042,Mail-0/Zero,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,pr_template,disclosure;human_responsibility;process_requirement;restriction_or_ban,exclusionary_gatekeeping;process_template_absorption,located,True,2025-02-24T01:06:18Z,0e155f36730ab949479f4b99477fbb8b813c0115,updated pull request template to be more clear,high,3,False,.github/PULL_REQUEST_TEMPLATE.md;.github/CONTRIBUTING.md,.github/PULL_REQUEST_TEMPLATE.md,True,True,strict_main_ai_contribution_governance,human_responsibility;process_requirement;restriction_or_ban;verification_testing,# READ CAREFULLY THEN REMOVE Remove bullet points that are not relevant. PLEASE REFRAIN FROM USING AI TO WRITE YOUR CODE AND PR DESCRIPTION. IF YOU DO USE AI TO WRITE YOUR CODE PLEASE PROVIDE A DESCRIPTION AND REVIEW IT CAREFULLY. MAKE SURE YOU UNDERSTAND THE CODE YOU ARE SUBMITTING USING AI. - Pull requests that do not follow these guidelines will be closed without review or comment. - If you use AI to write your PR description your pr will be close witho,0,
FCR-0049,PolyhedralDev/Terra,CONTRIBUTING.md,CONTRIBUTING.md,contributing_guide,disclosure;restriction_or_ban,conditional_acceptance_accountability;exclusionary_gatekeeping,located,True,2021-06-01T00:57:55Z,c1c2ab6df8f36b0b52dba04cf528b3124009bd5c,General repository maintenance. (#94),high,1,False,CONTRIBUTING.md,CONTRIBUTING.md,True,True,hybrid_local_ai_contribution_governance,human_responsibility;process_requirement;verification_testing,"- Revert: Revert a previous commit. - Style: Code style updates. - Test: Anything related to testing. - Trans: Translation and localization of Terra to other languages. - WIP: Work in progress. - Separate the subject line from the body with a single blank line. - Do not end subject line with a period. - Limit the subject line to 50 or less. - The subject line and all body lines should be in sentence case. - Use the present tense. (""Add feature"" not ""Added feature"") - Use the imperative mood. (""Move cursor to..."" not ""Moves cursor to..."") - Reference relevant issues and pull requests in the body. > > Here is a template you can follow: > ``` > Capitalized, short (50 chars or less) summary > > More detailed explanatory text, if necessary. Wrap it to about 72 > characters or so. In some contexts, the first line is treated as > the subject of the commit and the rest of the text as the body. The > blank line separating the summary from the body is critical (unless > you omit the body entirely); various tools like `log`,",0,
FCR-0051,RIOT-OS/RIOT,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,pr_template,disclosure;human_responsibility;model_tool_usage_detail;process_requirement,conditional_acceptance_accountability;process_template_absorption,located,True,2026-04-01T09:27:33Z,0d568d4fa70a3bd0d93d9dc4be24e7fa286b1677,doc: add declaration of AI tools,high,5,False,.github/PULL_REQUEST_TEMPLATE.md,.github/PULL_REQUEST_TEMPLATE.md,True,True,strict_main_ai_contribution_governance,disclosure;human_responsibility;process_requirement;verification_testing,"### Issues/PRs references <!-- Examples: Fixes #1234. See also #5678. Depends on PR #9876. Please use keywords (e.g., fixes, resolve) with the links to the issues you resolved, this way they will be automatically closed when your pull request is merged. See https://help.github.com/articles/closing-issues-using-keywords/. --> ### Declaration of AI-Tools / LLMs usage: <!-- If AI/LLM was used please declare it here, and provide the following information: - which AI/LLM tool(s) were used (e.g., ChatGPT, Claude Code, GitHub Copilot, etc.) - to what degree the AI/LLM tool(s) were used (e.g., for code generation, for code review, for documentation, etc.) - was the code generated by the AI but reviewed by the user (oft",0,
